state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=zipcode=01351
MA,12/07/2012,,uir,3.185,,01351,Residential,,5.0,15925.0,,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,11/30/2012,,uir,2.695,,01351,Residential,,5.0,13475.0,,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,11/20/2012,,uir,4.9,,01351,Residential,,5.76,28230.0,,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,11/20/2012,,uir,7.35,,01351,Residential,,5.65,41527.5,,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,11/20/2012,,uir,3.92,,01351,Residential,,5.0,19600.0,,,,,,,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,10/22/2015,Massachusetts Clean Energy Center,uir,9.0,,01351,residential,Northeast Solar,4.0073333333,36066.0,2016,true,Montague,WMECO (DBA EverSource),,,Franklin,11734.16528,4.427994251,,,45.0,Fixed,194.0,,,,,6328.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,05/22/2015,Massachusetts Clean Energy Center,uir,5.725,,01351,residential,Ross Solar Group,3.4944978166,20006.0,2016,true,Montague,National Grid,crystalline,multiple matches,Franklin,6353.898099,3.771643877,,,43.0,Fixed,107.0,,,,,4865.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,03/19/2015,Massachusetts Clean Energy Center,uir,4.5,true,01351,residential,SolarCity,5.52,24840.0,2016,true,Montague,WMECO (DBA EverSource),,,Franklin,5293.938538,4.004010677,,,32.0,Fixed,114.0,,,,,3786.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,02/17/2015,Massachusetts Clean Energy Center,uir,5.865,true,01351,residential,Vivint,5.0784313725,29785.0,2016,true,Montague,WMECO (DBA EverSource),,,Franklin,7543.887036,4.375636578,,,44.0,Fixed,204.0,,,,,4061.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,07/14/2015,Massachusetts Clean Energy Center,uir,5.4,,01351,residential,Solar Store Of Greenfield,3.7514814815,20258.0,2016,true,Montague,NSTAR (DBA EverSource),,,Franklin,7136.504077,4.496882439,3217.5,,30.0,Fixed,183.0,,,,,5686.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,07/02/2015,Massachusetts Clean Energy Center,uir,7.848,,01351,residential,Pv Squared,4.8259429154,37874.0,2016,true,Montague,WMECO (DBA EverSource),Mono,multiple matches,Franklin,9882.052726,4.298010349,3250.0,,20.0,Fixed,210.0,,,,,7344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,10/29/2015,Massachusetts Clean Energy Center,uir,6.47,,01351,residential,Ronald R. Coler,3.7928902628,24540.0,2016,true,Montague,Unitil,crystalline,multiple matches,Franklin,7563.993124,4.004774094,1250.0,,5.0,Fixed,142.0,,,,,6916.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,05/27/2015,Massachusetts Clean Energy Center,uir,6.725,,01351,residential,Roof Diagnostics Solar & Electric,3.3442379182,22490.0,2016,true,Montague,WMECO (DBA EverSource),crystalline,multiple matches,Franklin,8659.154987,4.385345459,1250.0,,22.0,Fixed,160.0,,,,,7021.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,08/04/2015,Massachusetts Clean Energy Center,uir,8.25,,01351,residential,Roof Diagnostics Solar & Electric,3.7272727273,30750.0,2016,true,Montague,National Grid,,,Franklin,10882.33914,4.488829136,1117.5,,34.0,Fixed,192.0,,,,,9791.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
MA,11/21/2014,Massachusetts Clean Energy Center,uir,8.96,,01351,residential,Roof Diagnostics Solar & Electric,4.1036216518,36768.45,2016,true,Montague,WMECO (DBA EverSource),crystalline,multiple matches,Franklin,11400.90984,4.337632179,1250.0,,18.0,Fixed,164.0,,,,,10889.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
